trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.149067688459059}",20,9,22.048333409369473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.14698074082063217}",25,14,19.65005955100844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.14492301044914332}",20,0,17.552404915122914,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.14289408830285533}",25,15,10.690816154991719,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.14089357106661535}",30,13,17.013981504968704,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.13892106107168273}",30,22,14.83354333070915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.13697616621667916}",20,10,17.970370459614855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.13505849988964563}",20,11,14.76775834366816,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.1331676808911906}",25,14,19.052299708975024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.13130333335871394}",35,25,2.0492428119375,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.12946508669169193}",30,22,13.080464165734535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.12765257547800823}",20,0,-5.954330997693716,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.12586543942131612}",30,0,18.740837649752912,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.12410332326941768}",20,13,16.656474442494602,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.12236587674364584}",20,10,11.328495745866611,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.12065275446923479}",20,9,14.455998419083945,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.1189636159066655}",20,9,-37.73826482485111,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.11729812528397218}",25,14,20.021369259195044,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.11565595152999657}",30,20,21.159040011854966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.11403676820857661}",20,11,15.134745615690672,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.11244025345365653}",20,6,-1.8677809088941644,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.11086608990530535}",25,17,16.028982918821384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.10931396464663107}",20,10,19.128244984712573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.10778356914157823}",30,11,32.974449278293704,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.10627459917359613}",25,17,17.592275353058927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.10478675478516579}",20,9,22.626961917639914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.10331974021817347}",25,15,14.05452276547625,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.10187326385511904}",20,16,7.395302684821788,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.10044703816114738}",25,12,24.35589621346777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.09904077962689131}",20,8,21.941030974624244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.09765420871211483}",20,2,28.190673356159945,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.09628704979014523}",25,3,31.267945607754584,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.09493903109308319}",20,10,20.141222554240187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.09360988465778002}",20,6,11.18442838048314,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.0922993462725711}",25,16,18.521342667194002,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.0910071554247551}",25,10,24.766091215592187,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.08973305524880852}",25,6,9.551379548006967,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.0884767924753252}",20,12,3.7755822994351176,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.08723811738067064}",25,20,9.88358083155407,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.08601678373734124}",20,7,25.663478952016128,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.08481254876501847}",20,6,15.042686369885779,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.08362517308230821}",35,26,20.295169735126223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.0824544206591559}",20,8,14.982251421809883,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.08130005876992771}",20,1,31.49153991452444,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.08016185794714872}",25,14,18.50622761915717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.07903959193588864}",20,12,14.112638394334999,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.07793303764878619}",20,11,18.853460225726053,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.07684197512170318}",25,13,11.317543010871407,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.07576618746999933}",35,20,25.04843242219902,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07470546084541933}",25,14,22.543891645522095,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07365958439358346}",20,11,16.529284168501956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.07262835021207328}",20,5,25.97378382337695,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.07161155330910425}",20,14,11.655431267980475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.0706089915627768}",25,10,19.296411061646943,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.06962046568089791}",25,16,17.29749275432521,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.06864577916136534}",35,22,24.67041442739683,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.06768473825310622}",20,11,-4.5625871597479035,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.06673715191756274}",20,12,14.325995247156701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.06580283179071686}",20,11,17.441173894073223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.06488159214564682}",25,10,27.984563004607693,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.06397324985560776}",25,20,10.031742927989857,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.06307762435762926}",20,8,11.378146249337199,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.06219453761662245}",35,16,27.941495590850984,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.061323814089989735}",25,20,8.102912880635412,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.06046528069272988}",25,10,10.624802637422508,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.059618766763031655}",30,8,-16.310325623141555,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
201,False,"{'a': 0.5, 'e': 0.05878410402834921}",25,14,9.71824564280477,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.05796112657195232}",35,23,22.834881955817373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.057149670799944985}",20,9,19.408436362388777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.05634957540874575}",20,16,6.021625905484354,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.05556068135302331}",20,13,11.775894629192335,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.05478283181408099}",20,16,8.405307046645426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.05401587216868385}",35,18,17.689012642143748,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.053259649958322275}",20,10,21.953865197292675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.052514014858905764}",25,7,27.36780943197765,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.05177881865088108}",20,8,26.564740866600737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.05105391518976875}",25,15,21.27286280018684,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.05033916037711198}",30,19,19.309522378378446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.049634412131832416}",20,16,10.673663292188245,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,9,25.882386062333225,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,27.69245376163251,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,19,19.742510655505807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,15.262346691791276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,19.368963847948965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,18,16.467373786558504,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,16.25791708543418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,22.202352446121488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,16.506225612586988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,18.380114486108525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,16,18.0352486089936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,11,19.707189155958282,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,16,30.219436756394973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,9,19.769944103134325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,8,20.21122864735001,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
