trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.11906986172144,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.44969696965,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.50403587517093,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.17592875875288,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
