trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,True,"{'a': 0, 'e': 0}",30,0,47.767458461446985,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,True,"{'a': 0, 'e': 0}",25,15,18.927158654429302,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",20,10,18.266096247756984,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",30,18,16.472524327035316,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",30,15,3.6756433581133776,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",20,14,11.809396172102693,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",25,6,31.50062134428544,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",20,6,24.52570454497576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",25,3,-9.519721357287871,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,True,"{'a': 0, 'e': 0}",20,8,18.046862877753988,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",20,3,-12.725355118212267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,True,"{'a': 0, 'e': 0}",20,12,15.19581794805272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,0,24.576466117894213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0, 'e': 0}",25,2,32.12204116049569,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",25,20,6.254456581848785,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",20,10,15.50873242130255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",20,2,23.975011857228843,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",20,6,26.348665120802448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,7,21.81681973820114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",25,12,-1.8723093363089105,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,12,12.209591581117765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",20,0,23.95731794365875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,True,"{'a': 0, 'e': 0}",30,0,35.85932308142014,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",20,14,9.102559652218387,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,12,15.441284952668305,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",20,0,28.176341843163236,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,True,"{'a': 0, 'e': 0}",25,0,35.12554649435574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,True,"{'a': 0, 'e': 0}",25,17,15.6849974994884,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",30,8,36.652259773914004,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",25,0,-1.8343339896505333,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
94,True,"{'a': 0, 'e': 0}",25,15,19.28323686775551,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",25,7,31.475205853375627,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",20,9,19.576376889570245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",35,0,52.55274157061669,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0, 'e': 0}",30,18,18.301237454741486,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,1,30.215853894592318,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",30,12,32.77783982452728,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
